Grupo; Processo; Inst. Chegada; Tempo de Serviço; Inst. Atendimento; Tempo Perm. Fila 
Grupo 1 
1; 1; 6; 5; 8; 2 
1; 2; 9; 5; 13; 4 
1; 3; 12; 5; 18; 6 
1; 4; 15; 5; 23; 8 
1; 5; 18; 5; 28; 10 
1; 6; 21; 5; 33; 12 
1; 7; 24; 5; 38; 14 
1; 8; 27; 5; 15; -12 
1; 9; 30; 5; 20; -10 
1; 10; 33; 5; 25; -8 
1; 11; 36; 5; 30; -6 
1; 12; 39; 5; 35; -4 
1; 13; 42; 5; 15; -27 
1; 14; 45; 5; 20; -25 
1; 15; 48; 5; 25; -23 
1; 16; 51; 5; 30; -21 
1; 17; 54; 5; 35; -19 
1; 18; 57; 5; 15; -42 
1; 19; 60; 5; 20; -40 
1; 20; 63; 5; 25; -38 
1; 21; 66; 5; 30; -36 
1; 22; 69; 5; 35; -34 
1; 23; 72; 5; 15; -57 
1; 24; 75; 5; 20; -55 
1; 25; 78; 5; 25; -53 
1; 26; 81; 5; 30; -51 
1; 27; 84; 5; 35; -49 
1; 28; 87; 5; 15; -72 
1; 29; 90; 5; 20; -70 
1; 30; 93; 5; 25; -68 
1; 31; 96; 5; 30; -66 
1; 32; 99; 5; 35; -64 
1; 33; 102; 5; 15; -87 
1; 34; 105; 5; 20; -85 
1; 35; 108; 5; 25; -83 
1; 36; 111; 5; 30; -81 
1; 37; 114; 5; 35; -79 
1; 38; 117; 5; 15; -102 
1; 39; 120; 5; 20; -100 
1; 40; 123; 5; 25; -98 
1; 41; 126; 5; 30; -96 
1; 42; 129; 5; 35; -94 
1; 43; 132; 5; 15; -117 
1; 44; 135; 5; 20; -115 
1; 45; 138; 5; 25; -113 
1; 46; 141; 5; 30; -111 
1; 47; 144; 5; 35; -109 
1; 48; 147; 5; 15; -132 
1; 49; 150; 5; 20; -130 
1; 50; 153; 5; 25; -128 
1; 51; 156; 5; 30; -126 
1; 52; 159; 5; 35; -124 
1; 53; 162; 5; 15; -147 
1; 54; 165; 5; 20; -145 
1; 55; 168; 5; 25; -143 
1; 56; 171; 5; 30; -141 
1; 57; 174; 5; 35; -139 
1; 58; 177; 5; 15; -162 
1; 59; 180; 5; 20; -160 
1; 60; 183; 5; 25; -158 
1; 61; 186; 5; 30; -156 
1; 62; 189; 5; 35; -154 
1; 63; 192; 5; 15; -177 
1; 64; 195; 5; 20; -175 
1; 65; 198; 5; 25; -173 
1; 66; 201; 5; 30; -171 
1; 67; 204; 5; 35; -169 
1; 68; 207; 5; 15; -192 
1; 69; 210; 5; 20; -190 
1; 70; 213; 5; 25; -188 
1; 71; 216; 5; 30; -186 
1; 72; 219; 5; 35; -184 
1; 73; 222; 5; 15; -207 
1; 74; 225; 5; 20; -205 
1; 75; 228; 5; 25; -203 
1; 76; 231; 5; 30; -201 
1; 77; 234; 5; 35; -199 
1; 78; 237; 5; 15; -222 
1; 79; 240; 5; 20; -220 
1; 80; 243; 5; 25; -218 
1; 81; 246; 5; 30; -216 
1; 82; 249; 5; 35; -214 
1; 83; 252; 5; 15; -237 
1; 84; 255; 5; 20; -235 
1; 85; 258; 5; 25; -233 
1; 86; 261; 5; 30; -231 
1; 87; 264; 5; 35; -229 
1; 88; 267; 5; 15; -252 
1; 89; 270; 5; 20; -250 
1; 90; 273; 5; 25; -248 
1; 91; 276; 5; 30; -246 
1; 92; 279; 5; 35; -244 
1; 93; 282; 5; 15; -267 
1; 94; 285; 5; 20; -265 
1; 95; 288; 5; 25; -263 
