Grupo; Processo; Inst. Chegada; Tempo de Serviço; Inst. Atendimento; Tempo Perm. Fila 
Grupo 1 
1; 1; 8; 2; 8; 0 
1; 2; 8; 2; 10; 2 
1; 3; 8; 2; 12; 4 
1; 4; 8; 2; 14; 6 
1; 5; 8; 2; 16; 8 
1; 6; 8; 2; 18; 10 
1; 7; 8; 2; 20; 12 
1; 8; 8; 2; 22; 14 
1; 9; 8; 2; 24; 16 
1; 10; 8; 2; 26; 18 
1; 11; 8; 2; 28; 20 
1; 12; 8; 2; 30; 22 
1; 13; 8; 2; 32; 24 
1; 14; 8; 2; 34; 26 
1; 15; 8; 2; 36; 28 
1; 16; 8; 2; 38; 30 
1; 17; 8; 2; 40; 32 
1; 18; 8; 2; 42; 34 
1; 19; 8; 2; 44; 36 
1; 20; 8; 2; 46; 38 
1; 21; 8; 2; 48; 40 
1; 22; 8; 2; 50; 42 
1; 23; 8; 2; 52; 44 
1; 24; 8; 2; 54; 46 
1; 25; 8; 2; 56; 48 
1; 26; 8; 2; 58; 50 
1; 27; 8; 2; 60; 52 
1; 28; 8; 2; 62; 54 
1; 29; 8; 2; 64; 56 
1; 30; 8; 2; 66; 58 
1; 31; 8; 2; 68; 60 
1; 32; 8; 2; 70; 62 
1; 33; 8; 2; 72; 64 
1; 34; 8; 2; 74; 66 
1; 35; 8; 2; 76; 68 
1; 36; 8; 2; 78; 70 
1; 37; 8; 2; 80; 72 
1; 38; 8; 2; 82; 74 
1; 39; 8; 2; 84; 76 
1; 40; 8; 2; 86; 78 
1; 41; 8; 2; 88; 80 
1; 42; 8; 2; 90; 82 
1; 43; 8; 2; 92; 84 
1; 44; 8; 2; 94; 86 
1; 45; 8; 2; 96; 88 
1; 46; 8; 2; 98; 90 
1; 47; 8; 2; 100; 92 
1; 48; 8; 2; 102; 94 
1; 49; 8; 2; 104; 96 
1; 50; 8; 2; 106; 98 
1; 51; 8; 2; 108; 100 
1; 52; 8; 2; 110; 102 
1; 53; 8; 2; 112; 104 
1; 54; 8; 2; 114; 106 
1; 55; 8; 2; 116; 108 
1; 56; 8; 2; 118; 110 
1; 57; 8; 2; 120; 112 
1; 58; 8; 2; 122; 114 
1; 59; 8; 2; 124; 116 
1; 60; 8; 2; 126; 118 
1; 61; 8; 2; 128; 120 
1; 62; 8; 2; 130; 122 
1; 63; 8; 2; 132; 124 
1; 64; 8; 2; 134; 126 
1; 65; 8; 2; 136; 128 
1; 66; 8; 2; 138; 130 
1; 67; 8; 2; 140; 132 
1; 68; 8; 2; 142; 134 
1; 69; 8; 2; 144; 136 
1; 70; 8; 2; 146; 138 
1; 71; 8; 2; 148; 140 
1; 72; 8; 2; 150; 142 
1; 73; 8; 2; 152; 144 
1; 74; 8; 2; 154; 146 
1; 75; 8; 2; 156; 148 
1; 76; 8; 2; 158; 150 
1; 77; 8; 2; 160; 152 
1; 78; 8; 2; 162; 154 
1; 79; 8; 2; 164; 156 
1; 80; 8; 2; 166; 158 
1; 81; 8; 2; 168; 160 
1; 82; 8; 2; 170; 162 
1; 83; 8; 2; 172; 164 
1; 84; 8; 2; 174; 166 
1; 85; 8; 2; 176; 168 
1; 86; 8; 2; 178; 170 
1; 87; 8; 2; 180; 172 
1; 88; 8; 2; 182; 174 
1; 89; 8; 2; 184; 176 
1; 90; 8; 2; 186; 178 
1; 91; 8; 2; 188; 180 
1; 92; 8; 2; 190; 182 
1; 93; 8; 2; 192; 184 
1; 94; 8; 2; 194; 186 
1; 95; 8; 2; 196; 188 
1; 96; 8; 2; 198; 190 
1; 97; 8; 2; 200; 192 
1; 98; 8; 2; 202; 194 
1; 99; 8; 2; 204; 196 
1; 100; 8; 2; 206; 198 
1; 101; 8; 2; 208; 200 
1; 102; 8; 2; 210; 202 
1; 103; 8; 2; 212; 204 
1; 104; 8; 2; 214; 206 
1; 105; 8; 2; 216; 208 
1; 106; 8; 2; 218; 210 
1; 107; 8; 2; 220; 212 
1; 108; 8; 2; 222; 214 
1; 109; 8; 2; 224; 216 
1; 110; 8; 2; 226; 218 
1; 111; 8; 2; 228; 220 
1; 112; 8; 2; 230; 222 
1; 113; 8; 2; 232; 224 
1; 114; 8; 2; 234; 226 
1; 115; 8; 2; 236; 228 
1; 116; 8; 2; 238; 230 
1; 117; 8; 2; 240; 232 
1; 118; 8; 2; 242; 234 
1; 119; 8; 2; 244; 236 
1; 120; 8; 2; 246; 238 
1; 121; 8; 2; 248; 240 
1; 122; 8; 2; 250; 242 
1; 123; 8; 2; 252; 244 
1; 124; 8; 2; 254; 246 
1; 125; 8; 2; 256; 248 
1; 126; 8; 2; 258; 250 
1; 127; 8; 2; 260; 252 
1; 128; 8; 2; 262; 254 
1; 129; 8; 2; 264; 256 
1; 130; 8; 2; 266; 258 
