Grupo; Processo; Inst. Chegada; Tempo de Serviço; Inst. Atendimento; Tempo Perm. Fila 
Grupo 1 
1; 1; 10; 40; 10; 0 
1; 2; 10; 40; 60; 50 
1; 3; 10; 40; 100; 90 
1; 4; 10; 40; 140; 130 
1; 5; 10; 40; 180; 170 
1; 6; 10; 40; 220; 210 
1; 7; 10; 40; 260; 250 
1; 8; 10; 40; 300; 290 
1; 9; 10; 40; 340; 330 
1; 10; 10; 40; 380; 370 
1; 11; 10; 40; 420; 410 
1; 12; 10; 40; 460; 450 
1; 13; 10; 40; 500; 490 
1; 14; 10; 40; 540; 530 
1; 15; 10; 40; 580; 570 
1; 16; 10; 40; 620; 610 
1; 17; 10; 40; 660; 650 
1; 18; 10; 40; 700; 690 
1; 19; 10; 40; 740; 730 
1; 20; 10; 40; 780; 770 
1; 21; 10; 40; 820; 810 
1; 22; 10; 40; 860; 850 
1; 23; 10; 40; 900; 890 
1; 24; 10; 40; 940; 930 
1; 25; 10; 40; 980; 970 
1; 26; 10; 40; 1020; 1010 
1; 27; 10; 40; 1060; 1050 
1; 28; 10; 40; 1100; 1090 
1; 29; 10; 40; 1140; 1130 
1; 30; 10; 40; 1180; 1170 
1; 31; 10; 40; 1220; 1210 
1; 32; 10; 40; 1260; 1250 
1; 33; 10; 40; 1300; 1290 
1; 34; 10; 40; 1340; 1330 
1; 35; 10; 40; 1380; 1370 
1; 36; 10; 40; 1420; 1410 
1; 37; 10; 40; 1460; 1450 
1; 38; 10; 40; 1500; 1490 
1; 39; 10; 40; 1540; 1530 
1; 40; 10; 40; 1580; 1570 
1; 41; 10; 40; 1620; 1610 
1; 42; 10; 40; 1660; 1650 
1; 43; 10; 40; 1700; 1690 
1; 44; 10; 40; 1740; 1730 
1; 45; 10; 40; 1780; 1770 
1; 46; 10; 40; 1820; 1810 
1; 47; 10; 40; 1860; 1850 
1; 48; 10; 40; 1900; 1890 
1; 49; 10; 40; 1940; 1930 
1; 50; 10; 40; 1980; 1970 
1; 51; 10; 40; 2020; 2010 
1; 52; 10; 40; 2060; 2050 
1; 53; 10; 40; 2100; 2090 
1; 54; 10; 40; 2140; 2130 
1; 55; 10; 40; 2180; 2170 
1; 56; 10; 40; 2220; 2210 
1; 57; 10; 40; 2260; 2250 
1; 58; 10; 40; 2300; 2290 
1; 59; 10; 40; 2340; 2330 
1; 60; 10; 40; 2380; 2370 
1; 61; 10; 40; 2420; 2410 
1; 62; 10; 40; 2460; 2450 
1; 63; 10; 40; 2500; 2490 
1; 64; 10; 40; 2540; 2530 
1; 65; 10; 40; 2580; 2570 
1; 66; 10; 40; 2620; 2610 
1; 67; 10; 40; 2660; 2650 
1; 68; 10; 40; 2700; 2690 
1; 69; 10; 40; 2740; 2730 
1; 70; 10; 40; 2780; 2770 
1; 71; 10; 40; 2820; 2810 
1; 72; 10; 40; 2860; 2850 
1; 73; 10; 40; 2900; 2890 
1; 74; 10; 40; 2940; 2930 
1; 75; 10; 40; 2980; 2970 
1; 76; 10; 40; 3020; 3010 
1; 77; 10; 40; 3060; 3050 
1; 78; 10; 40; 3100; 3090 
1; 79; 10; 40; 3140; 3130 
1; 80; 10; 40; 3180; 3170 
1; 81; 10; 40; 3220; 3210 
1; 82; 10; 40; 3260; 3250 
1; 83; 10; 40; 3300; 3290 
1; 84; 10; 40; 3340; 3330 
1; 85; 10; 40; 3380; 3370 
1; 86; 10; 40; 3420; 3410 
1; 87; 10; 40; 3460; 3450 
1; 88; 10; 40; 3500; 3490 
1; 89; 10; 40; 3540; 3530 
1; 90; 10; 40; 3580; 3570 
1; 91; 10; 40; 3620; 3610 
1; 92; 10; 40; 3660; 3650 
1; 93; 10; 40; 3700; 3690 
1; 94; 10; 40; 3740; 3730 
1; 95; 10; 40; 3780; 3770 
1; 96; 10; 40; 3820; 3810 
1; 97; 10; 40; 3860; 3850 
1; 98; 10; 40; 3900; 3890 
1; 99; 10; 40; 3940; 3930 
1; 100; 10; 40; 3980; 3970 
1; 101; 10; 40; 4020; 4010 
1; 102; 10; 40; 4060; 4050 
1; 103; 10; 40; 4100; 4090 
1; 104; 10; 40; 4140; 4130 
1; 105; 10; 40; 4180; 4170 
1; 106; 10; 40; 4220; 4210 
1; 107; 10; 40; 4260; 4250 
1; 108; 10; 40; 4300; 4290 
1; 109; 10; 40; 4340; 4330 
1; 110; 10; 40; 4380; 4370 
1; 111; 10; 40; 4420; 4410 
1; 112; 10; 40; 4460; 4450 
1; 113; 10; 40; 4500; 4490 
1; 114; 10; 40; 4540; 4530 
1; 115; 10; 40; 4580; 4570 
1; 116; 10; 40; 4620; 4610 
1; 117; 10; 40; 4660; 4650 
1; 118; 10; 40; 4700; 4690 
1; 119; 10; 40; 4740; 4730 
1; 120; 10; 40; 4780; 4770 
1; 121; 10; 40; 4820; 4810 
1; 122; 10; 40; 4860; 4850 
1; 123; 10; 40; 4900; 4890 
1; 124; 10; 40; 4940; 4930 
1; 125; 10; 40; 4980; 4970 
1; 126; 10; 40; 5020; 5010 
1; 127; 10; 40; 5060; 5050 
1; 128; 10; 40; 5100; 5090 
1; 129; 10; 40; 5140; 5130 
1; 130; 10; 40; 5180; 5170 
1; 131; 10; 40; 5220; 5210 
1; 132; 10; 40; 5260; 5250 
1; 133; 10; 40; 5300; 5290 
1; 134; 10; 40; 5340; 5330 
1; 135; 10; 40; 5380; 5370 
1; 136; 10; 40; 5420; 5410 
1; 137; 10; 40; 5460; 5450 
1; 138; 10; 40; 5500; 5490 
1; 139; 10; 40; 5540; 5530 
1; 140; 10; 40; 5580; 5570 
1; 141; 10; 40; 5620; 5610 
1; 142; 10; 40; 5660; 5650 
1; 143; 10; 40; 5700; 5690 
1; 144; 10; 40; 5740; 5730 
1; 145; 10; 40; 5780; 5770 
1; 146; 10; 40; 5820; 5810 
1; 147; 10; 40; 5860; 5850 
1; 148; 10; 40; 5900; 5890 
1; 149; 10; 40; 5940; 5930 
1; 150; 10; 40; 5980; 5970 
1; 151; 10; 40; 6020; 6010 
1; 152; 10; 40; 6060; 6050 
1; 153; 10; 40; 6100; 6090 
1; 154; 10; 40; 6140; 6130 
1; 155; 10; 40; 6180; 6170 
1; 156; 10; 40; 6220; 6210 
1; 157; 10; 40; 6260; 6250 
1; 158; 10; 40; 6300; 6290 
1; 159; 10; 40; 6340; 6330 
1; 160; 10; 40; 6380; 6370 
1; 161; 10; 40; 6420; 6410 
1; 162; 10; 40; 6460; 6450 
1; 163; 10; 40; 6500; 6490 
1; 164; 10; 40; 6540; 6530 
1; 165; 10; 40; 6580; 6570 
1; 166; 10; 40; 6620; 6610 
1; 167; 10; 40; 6660; 6650 
1; 168; 10; 40; 6700; 6690 
1; 169; 10; 40; 6740; 6730 
1; 170; 10; 40; 6780; 6770 
1; 171; 10; 40; 6820; 6810 
1; 172; 10; 40; 6860; 6850 
1; 173; 10; 40; 6900; 6890 
1; 174; 10; 40; 6940; 6930 
1; 175; 10; 40; 6980; 6970 
1; 176; 10; 40; 7020; 7010 
1; 177; 10; 40; 7060; 7050 
1; 178; 10; 40; 7100; 7090 
1; 179; 10; 40; 7140; 7130 
1; 180; 10; 40; 7180; 7170 
1; 181; 10; 40; 7220; 7210 
1; 182; 10; 40; 7260; 7250 
1; 183; 10; 40; 7300; 7290 
1; 184; 10; 40; 7340; 7330 
1; 185; 10; 40; 7380; 7370 
1; 186; 10; 40; 7420; 7410 
1; 187; 10; 40; 7460; 7450 
1; 188; 10; 40; 7500; 7490 
1; 189; 10; 40; 7540; 7530 
1; 190; 10; 40; 7580; 7570 
1; 191; 10; 40; 7620; 7610 
1; 192; 10; 40; 7660; 7650 
1; 193; 10; 40; 7700; 7690 
1; 194; 10; 40; 7740; 7730 
1; 195; 10; 40; 7780; 7770 
1; 196; 10; 40; 7820; 7810 
1; 197; 10; 40; 7860; 7850 
1; 198; 10; 40; 7900; 7890 
1; 199; 10; 40; 7940; 7930 
1; 200; 10; 40; 7980; 7970 
1; 201; 10; 40; 8020; 8010 
1; 202; 10; 40; 8060; 8050 
1; 203; 10; 40; 8100; 8090 
1; 204; 10; 40; 8140; 8130 
1; 205; 10; 40; 8180; 8170 
1; 206; 10; 40; 8220; 8210 
1; 207; 10; 40; 8260; 8250 
1; 208; 10; 40; 8300; 8290 
1; 209; 10; 40; 8340; 8330 
1; 210; 10; 40; 8380; 8370 
1; 211; 10; 40; 8420; 8410 
1; 212; 10; 40; 8460; 8450 
1; 213; 10; 40; 8500; 8490 
1; 214; 10; 40; 8540; 8530 
1; 215; 10; 40; 8580; 8570 
1; 216; 10; 40; 8620; 8610 
1; 217; 10; 40; 8660; 8650 
1; 218; 10; 40; 8700; 8690 
1; 219; 10; 40; 8740; 8730 
1; 220; 10; 40; 8780; 8770 
1; 221; 10; 40; 8820; 8810 
1; 222; 10; 40; 8860; 8850 
1; 223; 10; 40; 8900; 8890 
1; 224; 10; 40; 8940; 8930 
1; 225; 10; 40; 8980; 8970 
1; 226; 10; 40; 9020; 9010 
1; 227; 10; 40; 9060; 9050 
1; 228; 10; 40; 9100; 9090 
1; 229; 10; 40; 9140; 9130 
1; 230; 10; 40; 9180; 9170 
1; 231; 10; 40; 9220; 9210 
1; 232; 10; 40; 9260; 9250 
1; 233; 10; 40; 9300; 9290 
1; 234; 10; 40; 9340; 9330 
1; 235; 10; 40; 9380; 9370 
1; 236; 10; 40; 9420; 9410 
1; 237; 10; 40; 9460; 9450 
1; 238; 10; 40; 9500; 9490 
1; 239; 10; 40; 9540; 9530 
1; 240; 10; 40; 9580; 9570 
1; 241; 10; 40; 9620; 9610 
1; 242; 10; 40; 9660; 9650 
1; 243; 10; 40; 9700; 9690 
1; 244; 10; 40; 9740; 9730 
1; 245; 10; 40; 9780; 9770 
1; 246; 10; 40; 9820; 9810 
1; 247; 10; 40; 9860; 9850 
1; 248; 10; 40; 9900; 9890 
1; 249; 10; 40; 9940; 9930 
1; 250; 10; 40; 9980; 9970 
1; 251; 10; 40; 10020; 10010 
1; 252; 10; 40; 10060; 10050 
1; 253; 10; 40; 10100; 10090 
1; 254; 10; 40; 10140; 10130 
1; 255; 10; 40; 10180; 10170 
1; 256; 10; 40; 10220; 10210 
1; 257; 10; 40; 10260; 10250 
1; 258; 10; 40; 10300; 10290 
1; 259; 10; 40; 10340; 10330 
1; 260; 10; 40; 10380; 10370 
1; 261; 10; 40; 10420; 10410 
1; 262; 10; 40; 10460; 10450 
1; 263; 10; 40; 10500; 10490 
1; 264; 10; 40; 10540; 10530 
1; 265; 10; 40; 10580; 10570 
1; 266; 10; 40; 10620; 10610 
1; 267; 10; 40; 10660; 10650 
1; 268; 10; 40; 10700; 10690 
1; 269; 10; 40; 10740; 10730 
1; 270; 10; 40; 10780; 10770 
1; 271; 10; 40; 10820; 10810 
1; 272; 10; 40; 10860; 10850 
1; 273; 10; 40; 10900; 10890 
1; 274; 10; 40; 10940; 10930 
1; 275; 10; 40; 10980; 10970 
1; 276; 10; 40; 11020; 11010 
1; 277; 10; 40; 11060; 11050 
1; 278; 10; 40; 11100; 11090 
1; 279; 10; 40; 11140; 11130 
1; 280; 10; 40; 11180; 11170 
1; 281; 10; 40; 11220; 11210 
1; 282; 10; 40; 11260; 11250 
1; 283; 10; 40; 11300; 11290 
1; 284; 10; 40; 11340; 11330 
1; 285; 10; 40; 11380; 11370 
1; 286; 10; 40; 11420; 11410 
1; 287; 10; 40; 11460; 11450 
1; 288; 10; 40; 11500; 11490 
1; 289; 10; 40; 11540; 11530 
1; 290; 10; 40; 11580; 11570 
1; 291; 10; 40; 11620; 11610 
1; 292; 10; 40; 11660; 11650 
1; 293; 10; 40; 11700; 11690 
1; 294; 10; 40; 11740; 11730 
1; 295; 10; 40; 11780; 11770 
1; 296; 10; 40; 11820; 11810 
1; 297; 10; 40; 11860; 11850 
1; 298; 10; 40; 11900; 11890 
1; 299; 10; 40; 11940; 11930 
1; 300; 10; 40; 11980; 11970 
1; 301; 10; 40; 12020; 12010 
1; 302; 10; 40; 12060; 12050 
1; 303; 10; 40; 12100; 12090 
1; 304; 10; 40; 12140; 12130 
1; 305; 10; 40; 12180; 12170 
1; 306; 10; 40; 12220; 12210 
1; 307; 10; 40; 12260; 12250 
1; 308; 10; 40; 12300; 12290 
1; 309; 10; 40; 12340; 12330 
1; 310; 10; 40; 12380; 12370 
1; 311; 10; 40; 12420; 12410 
1; 312; 10; 40; 12460; 12450 
